Configuration,Accuracy,Precision,Recall,F1,ROC-AUC,Status
XGBoost Only,,,,,,success
Diffusion + XGBoost,,,,,,success
SMOTE + XGBoost,,,,,,success
ADASYN + XGBoost,,,,,,success
TSO-HBA + XGBoost,,,,,,pending
